symbol	KEGG_ko
g7130	ko:K00058
g10537	ko:K11232
g10457	ko:K05034
g3113	ko:K01835
g514	ko:K15100
g6779	ko:K00958
g6779	ko:K00958
g4249	ko:K18338
g6996	ko:K06158
g6076	ko:K15394
g5528	ko:K01580
g5528	ko:K01580
g6691	ko:K21989
g6691	ko:K21989
g8183	ko:K06316
g10072	ko:K14289
g1654	ko:K17069
g1654	ko:K17069
g10341	ko:K00826
g10341	ko:K00826
g8383	ko:K03781
g90	ko:K01568
g90	ko:K13953
g943	ko:K01196
g210	ko:K20246
g210	ko:K20246
g10226	ko:K04091
g3214	ko:K17741
g2377	ko:K15435
g4892	ko:K01210
g7862	ko:K03676
g7862	ko:K03676
g969	ko:K06641
g2466	ko:K08286
g4351	ko:K01062
g4079	ko:K13278
g6168	ko:K01803
g5920	ko:K05917
g8390	ko:K22243
g10059	ko:K01183
g3244	ko:K00079
g4502	ko:K03671
g4502	ko:K03671
g1541	ko:K07443
g9219	ko:K01082
g1287	ko:K00963
g1842	ko:K03509
g6647	ko:K11594
g6584	ko:K00135
g4439	ko:K00381
g10891	ko:K00844
g7780	ko:K15523
g7780	ko:K15523
g3553	ko:K15072
g984	ko:K01689
g1519	ko:K12823
g1519	ko:K12823
g1519	ko:K12823
g1556	ko:K19363
g7125	ko:K00380
g3792	ko:K09051
g3792	ko:K09051
g824	ko:K20794
g7954	ko:K05349
g7954	ko:K05349
g10541	ko:K01809
g5576	ko:K17619
g4777	ko:K01115
g1020	ko:K01626
g8742	ko:K00227
g6003	ko:K15109
g1485	ko:K00354
g1485	ko:K00354
g1268	ko:K08286
g1268	ko:K08286
g1268	ko:K08286
g2628	ko:K14709
g1098	ko:K21545
g9579	ko:K01783
g5705	ko:K01264
g3025	ko:K00306
g8361	ko:K01465
g4706	ko:K06970
g4706	ko:K11393
g4104	ko:K00693
g10910	ko:K22063
g10212	ko:K01939
g1933	ko:K00323
g4302	ko:K01062
g4302	ko:K01062
g9224	ko:K14819
g6810	ko:K03231
g6778	ko:K00390
g3106	ko:K00074
g976	ko:K11886
g10420	ko:K21197
g6377	ko:K08968
g7255	ko:K05658
g7255	ko:K05658
g2436	ko:K14334
g2436	ko:K14334
g4280	ko:K00237
g4280	ko:K17791
g8377	ko:K02866
g8377	ko:K02866
g4510	ko:K00833
g4510	ko:K19562
g2952	ko:K07750
g5911	ko:K21848
g8830	ko:K00809
g9478	ko:K14015
g9478	ko:K14015
g6306	ko:K01873
g6306	ko:K01873
g1969	ko:K00927
g1969	ko:K00927
g9693	ko:K18064
g6273	ko:K00009
g7926	ko:K08956
g10222	ko:K20498
g6535	ko:K11841
g6535	ko:K11841
g2546	ko:K22124
g1707	ko:K00264
g7899	ko:K12345
g8161	ko:K15371
g6043	ko:K17878
g6043	ko:K17878
g5191	ko:K08770
g1022	ko:K05853
g1022	ko:K05853
g3152	ko:K01183
g6932	ko:K01426
g5215	ko:K02838
g2940	ko:K01192
g2940	ko:K01624
g2940	ko:K01192
g2940	ko:K01624
g6727	ko:K22503
g688	ko:K00820
g8642	ko:K02272
g3899	ko:K05864
g2486	ko:K14818
g5858	ko:K07300
g5858	ko:K07300
g7083	ko:K08158
g1695	ko:K01535
g7806	ko:K09660
g3170	ko:K00311
g10560	ko:K01301
g10560	ko:K01301
g5992	ko:K17605
g5992	ko:K17605
g5992	ko:K17605
g4124	ko:K19069
g8580	ko:K08497
g10045	ko:K01739
g9388	ko:K01056
g5346	ko:K01133
g7890	ko:K00799
g7890	ko:K00799
g10889	ko:K22315
g8541	ko:K00471
g2946	ko:K08286
g2946	ko:K19800
g6503	ko:K08192
g6503	ko:K08192
g1564	ko:K10531
g1564	ko:K10531
g8736	ko:K00643
g2178	ko:K14679
g7020	ko:K06210
g7020	ko:K06210
g9803	ko:K01876
g9803	ko:K22503
g1562	ko:K22148
g6462	ko:K03234
g2500	ko:K01974
g8527	ko:K09584
g9779	ko:K07119
g1635	ko:K00602
g6106	ko:K02932
g5245	ko:K00856
g262	ko:K03317
g7000	ko:K18561
g8366	ko:K00344
g4632	ko:K00344
g6108	ko:K14729
g4639	ko:K00275
g5086	ko:K01078
g130	ko:K15218
g9682	ko:K03809
g2453	ko:K01210
g883	ko:K11126
g8408	ko:K09202
g8408	ko:K09238
g5910	ko:K09561
g5910	ko:K09561
g9938	ko:K11252
g7244	ko:K12592
g2907	ko:K11376
g10644	ko:K01647
g5189	ko:K14816
g7254	ko:K05658
g3915	ko:K03627
g8376	ko:K02908
g1262	ko:K00505
g1883	ko:K00616
g1743	ko:K00700
g4874	ko:K05658
g2035	ko:K15532
g10585	ko:K01843
g10585	ko:K01843
g8654	ko:K15503
g8498	ko:K14708
g6515	ko:K03386
g9896	ko:K01568
g9896	ko:K01568
g5864	ko:K00121
g10758	ko:K20793
g10559	ko:K10251
g2951	ko:K02543
g2951	ko:K06640
g3629	ko:K00326
g6362	ko:K04043
g1975	ko:K00894
g1975	ko:K00894
g146	ko:K01278
g146	ko:K01282
g5993	ko:K00432
g4546	ko:K11304
g5651	ko:K17969
g5651	ko:K17969
g8407	ko:K02977
g8407	ko:K02977
g592	ko:K00925
g592	ko:K00925
g2246	ko:K04565
g4609	ko:K12462
g2705	ko:K08141
g6393	ko:K06877
g1909	ko:K10259
g4256	ko:K03363
g5857	ko:K02962
g1405	ko:K02891
g9612	ko:K02958
g9612	ko:K02958
g1560	ko:K18693
g4141	ko:K20103
g8903	ko:K01756
g8903	ko:K01756
g4522	ko:K14640
g10435	ko:K08257
g4538	ko:K03885
g5209	ko:K03841
g10440	ko:K02267
g5115	ko:K14753
g6348	ko:K01934
g4061	ko:K14640
g9301	ko:K06185
g4200	ko:K11429
g3680	ko:K01802
g1424	ko:K00505
g1424	ko:K00505
g4698	ko:K19001
g4698	ko:K19001
g9150	ko:K07213
g3136	ko:K16216
g2632	ko:K07078
g8706	ko:K00026
g8706	ko:K00026
g8706	ko:K00026
g3114	ko:K20465
g6800	ko:K03165
g8624	ko:K03257
g3059	ko:K08832
g5844	ko:K02949
g320	ko:K03849
g3612	ko:K00236
g9377	ko:K02984
g5255	ko:K04564
g1856	ko:K02269
g6614	ko:K02266
g8813	ko:K11322
g3339	ko:K00940
g3339	ko:K00940
g8827	ko:K02903
g10408	ko:K11987
g10408	ko:K17863
g10408	ko:K17864
g10408	ko:K11987
g10408	ko:K17863
g10408	ko:K17864
g368	ko:K13348
g368	ko:K13349
g10861	ko:K08738
g4855	ko:K02927
g8931	ko:K02942
g978	ko:K02868
g9322	ko:K04518
g5546	ko:K00626
g10959	ko:K15394
g5419	ko:K11227
g2053	ko:K12765
g2053	ko:K12765
g3795	ko:K19850
g1789	ko:K09880
g7946	ko:K02930
g7946	ko:K02930
g4761	ko:K21850
g1681	ko:K00222
g1185	ko:K01669
g9878	ko:K01259
g9878	ko:K01259
g10636	ko:K14171
g5746	ko:K01810
g8251	ko:K02900
g8251	ko:K11273
g2526	ko:K04078
g1988	ko:K08711
g1988	ko:K08712
g1988	ko:K08711
g1988	ko:K08712
g1988	ko:K08711
g1988	ko:K08712
g6939	ko:K20524
g6939	ko:K20524
g9077	ko:K22133
g9077	ko:K22133
g5475	ko:K02938
g9906	ko:K17475
g10538	ko:K14455
g7392	ko:K02955
g9893	ko:K16275
g5376	ko:K02877
g4999	ko:K08711
g4999	ko:K08712
g4999	ko:K08711
g2133	ko:K18696
g10645	ko:K01637
g7322	ko:K02951
g6746	ko:K02978
g9135	ko:K05286
g9135	ko:K05286
g58	ko:K02934
g1502	ko:K18158
g119	ko:K02940
g68	ko:K00411
g68	ko:K00411
g6284	ko:K01697
g7203	ko:K12385
g1712	ko:K03952
g8902	ko:K00417
g10846	ko:K02896
g6683	ko:K00102
g6683	ko:K00102
g6683	ko:K00102
g6675	ko:K01923
g1752	ko:K02263
g9367	ko:K00058
g8049	ko:K02883
g2769	ko:K02947
g10291	ko:K03386
g10291	ko:K03386
g4494	ko:K07562
g5604	ko:K02936
g5604	ko:K02936
g10499	ko:K12780
g10499	ko:K13054
g1637	ko:K13524
g10766	ko:K02991
g4146	ko:K01514
g4146	ko:K01514
g4008	ko:K01803
g3331	ko:K03306
g3331	ko:K14640
g5330	ko:K00485
g5330	ko:K00485
g8930	ko:K01698
g5201	ko:K01673
g6006	ko:K01809
g1588	ko:K04569
g1588	ko:K07213
g1588	ko:K04569
g1588	ko:K07213
g8309	ko:K02901
g10241	ko:K11344
g10241	ko:K11344
g10241	ko:K11344
g1094	ko:K02920
g3265	ko:K03685
g5322	ko:K06656
g5322	ko:K06657
g10219	ko:K15026
g2995	ko:K02873
g7256	ko:K02981
g7256	ko:K02981
g8851	ko:K19692
g10169	ko:K01580
g10169	ko:K14790
g5211	ko:K03141
g4866	ko:K09485
g4866	ko:K09489
g4866	ko:K09485
g4866	ko:K09489
g5415	ko:K02957
g8540	ko:K15108
g4859	ko:K03263
g10536	ko:K18666
g6830	ko:K10669
g3656	ko:K15542
g4023	ko:K05287
g9299	ko:K07739
g1482	ko:K00668
g14	ko:K03178
g2315	ko:K22121
g2315	ko:K22121
g4762	ko:K00949
g10691	ko:K02921
g2346	ko:K06874
g1515	ko:K02960
g1515	ko:K02960
g9956	ko:K00706
g2150	ko:K02865
g9517	ko:K02925
g9517	ko:K02925
g142	ko:K01264
g142	ko:K01302
g9043	ko:K17742
g9043	ko:K17742
g3446	ko:K02912
g3446	ko:K17822
g1972	ko:K06174
g7464	ko:K00486
g9921	ko:K02870
g382	ko:K00972
g6833	ko:K02872
g9939	ko:K11251
g9687	ko:K10356
g531	ko:K00641
g1680	ko:K10089
g706	ko:K02923
g5777	ko:K01183
g6518	ko:K01253
g6743	ko:K02889
g840	ko:K03549
g4951	ko:K20522
g4951	ko:K20522
g8206	ko:K16055
g8206	ko:K16055
g9982	ko:K14821
g9028	ko:K17679
g4799	ko:K00698
g4039	ko:K18802
g9604	ko:K02941
g4210	ko:K01687
g9198	ko:K00428
g1208	ko:K02966
g1208	ko:K02966
g9657	ko:K02953
g8135	ko:K17292
g296	ko:K12834
g1554	ko:K14575
g8124	ko:K02929
g2179	ko:K01539
g2179	ko:K01541
g8780	ko:K04077
g8985	ko:K00549
g10432	ko:K12659
g2953	ko:K01724
g7039	ko:K02259
g2015	ko:K20792
g4994	ko:K07300
g4994	ko:K07300
g604	ko:K02915
g7920	ko:K07300
g6689	ko:K02922
g6689	ko:K02922
g9789	ko:K14650
g676	ko:K12236
g3245	ko:K17648
g3245	ko:K17648
g3694	ko:K01264
g6360	ko:K01760
g739	ko:K21016
g3724	ko:K01210
g1070	ko:K11594
g1070	ko:K11594
g2607	ko:K09554
g3678	ko:K02894
g2753	ko:K02993
g10718	ko:K02875
g2158	ko:K01452
g5606	ko:K06699
g7185	ko:K11173
g8697	ko:K00383
g5666	ko:K04441
g5666	ko:K04441
g7885	ko:K14688
g8066	ko:K06667
g8066	ko:K07760
g4598	ko:K15437
g2702	ko:K00831
g6776	ko:K08490
g1614	ko:K03934
g1483	ko:K00667
g1483	ko:K00668
g2007	ko:K00551
g2007	ko:K00551
g4408	ko:K05544
g4408	ko:K05544
g1383	ko:K15333
g4788	ko:K03235
g8101	ko:K01684
g10919	ko:K01527
g6826	ko:K02985
g10818	ko:K15447
g3815	ko:K15901
g8785	ko:K01062
g7496	ko:K15303
g3337	ko:K02264
g3337	ko:K02264
g7217	ko:K01624
g2664	ko:K03142
g10685	ko:K02995
g2668	ko:K16536
g10106	ko:K00600
g2274	ko:K02898
g2274	ko:K02898
g4661	ko:K13535
g10113	ko:K02976
g10113	ko:K02976
g4254	ko:K04523
g5497	ko:K02975
g2576	ko:K06158
g500	ko:K11244
g500	ko:K11244
g500	ko:K11244
g3484	ko:K00654
g5661	ko:K02128
g5661	ko:K03880
g7386	ko:K01626
g7386	ko:K01626
g9428	ko:K15102
g3788	ko:K00698
g3788	ko:K00698
g3806	ko:K07304
g3806	ko:K07304
g8717	ko:K22134
g6852	ko:K01079
g6310	ko:K12161
g6210	ko:K12608
g4512	ko:K01012
g3626	ko:K14708
g1880	ko:K17775
g6744	ko:K02997
g2749	ko:K01647
g8258	ko:K14811
g498	ko:K13237
g4620	ko:K15451
g4620	ko:K15451
g7867	ko:K00456
g7867	ko:K00456
g4916	ko:K02964
g952	ko:K08963
g952	ko:K08963
g10373	ko:K11684
g9208	ko:K17450
g4611	ko:K12397
g4611	ko:K12397
g3914	ko:K01194
g3914	ko:K01194
g4083	ko:K01188
g6275	ko:K13939
g6275	ko:K13941
g2411	ko:K17095
g4206	ko:K09578
g4206	ko:K09578
g234	ko:K07975
g4095	ko:K15303
g8208	ko:K00252
g8208	ko:K00252
g8208	ko:K00252
g6115	ko:K00698
g8678	ko:K20791
g9369	ko:K02917
g8804	ko:K00293
g8804	ko:K00797
g5265	ko:K00817
g9368	ko:K00036
g9997	ko:K02969
g8273	ko:K15109
g8273	ko:K15109
g3456	ko:K20059
g7453	ko:K03657
g7453	ko:K03657
g7730	ko:K18693
g9047	ko:K00928
g9949	ko:K10295
g425	ko:K01188
g3033	ko:K01652
g8914	ko:K00652
g8914	ko:K01598
g422	ko:K11996
g4759	ko:K00698
g6886	ko:K01433
g3961	ko:K01613
g2586	ko:K02918
g2586	ko:K02918
g4599	ko:K01784
g4599	ko:K01785
g1328	ko:K20061
g1328	ko:K20061
g5210	ko:K00164
g392	ko:K02882
g7378	ko:K03124
g2354	ko:K12585
g2354	ko:K12585
g365	ko:K01426
g3945	ko:K01094
g3945	ko:K01094
g5938	ko:K10427
g5938	ko:K10427
g5454	ko:K01591
g5454	ko:K13421
g2519	ko:K03321
g4278	ko:K20316
g4278	ko:K20316
g1059	ko:K06630
g1059	ko:K06630
g10907	ko:K01515
g6681	ko:K02987
g2754	ko:K00799
g10436	ko:K00764
g7463	ko:K01265
g9890	ko:K15633
g3967	ko:K00615
g3967	ko:K00615
g8784	ko:K08139
g2854	ko:K00415
g2854	ko:K00415
g506	ko:K00641
g506	ko:K00641
g2578	ko:K01251
g7882	ko:K07889
g7882	ko:K07976
g5075	ko:K01824
g4938	ko:K15102
g4938	ko:K15102
g4938	ko:K15102
g3702	ko:K02998
g10690	ko:K19029
g10690	ko:K19029
g8836	ko:K20896
g10776	ko:K05972
g9318	ko:K02893
g9241	ko:K21804
g5503	ko:K04713
g8174	ko:K00697
g263	ko:K00601
g263	ko:K00601
g5801	ko:K08850
g9594	ko:K20520
g5934	ko:K00797
g8811	ko:K01409
g6368	ko:K00762
g10297	ko:K03943
g9452	ko:K00626
g10025	ko:K14568
g10025	ko:K14568
g7246	ko:K01057
g4944	ko:K12619
g9097	ko:K17417
g10363	ko:K14794
g8394	ko:K02885
g3658	ko:K14154
g5757	ko:K01254
g7377	ko:K02141
g5318	ko:K19525
g3885	ko:K00031
g3885	ko:K00031
g15	ko:K03593
g6099	ko:K07734
g9923	ko:K12373
g3327	ko:K01952
g9203	ko:K00111
g5205	ko:K20858
g9724	ko:K03163
g8753	ko:K06944
g7741	ko:K01188
g3095	ko:K07511
g10864	ko:K07112
g10042	ko:K00573
g10860	ko:K00898
g9293	ko:K03940
g2471	ko:K11262
g512	ko:K02974
g512	ko:K02974
g3472	ko:K13525
g536	ko:K00287
g536	ko:K00287
g5146	ko:K01915
g5569	ko:K00606
g4479	ko:K09829
g8299	ko:K00507
g8299	ko:K22377
g6451	ko:K03146
g8484	ko:K01560
g964	ko:K08712
g964	ko:K08712
g7390	ko:K05759
g10496	ko:K01720
g10496	ko:K01720
g9573	ko:K01426
g9573	ko:K01426
g9115	ko:K02973
g9115	ko:K02973
g3090	ko:K12878
g3303	ko:K00787
g4283	ko:K22255
g10433	ko:K08513
g8414	ko:K01381
g6174	ko:K04487
g9503	ko:K17508
g2437	ko:K03381
g9276	ko:K15040
g1159	ko:K00088
g1689	ko:K00420
g5603	ko:K07542
g5603	ko:K07542
g7174	ko:K04563
g43	ko:K20069
g8218	ko:K03846
g6234	ko:K15306
g3776	ko:K00872
g6784	ko:K00799
g6784	ko:K20929
g6784	ko:K00799
g6784	ko:K20929
g7329	ko:K14864
g3507	ko:K08712
g4056	ko:K02980
g4279	ko:K17732
g4279	ko:K17732
g2355	ko:K02144
g3775	ko:K00759
g1660	ko:K19798
g1660	ko:K19799
g2391	ko:K01974
g2714	ko:K20168
g4375	ko:K01046
g898	ko:K00413
g898	ko:K00413
g4511	ko:K00652
g2336	ko:K00294
g5796	ko:K08762
g10687	ko:K02137
g8232	ko:K18587
g6682	ko:K00133
g2659	ko:K17262
g7956	ko:K13199
g6346	ko:K14213
g2395	ko:K00059
g4748	ko:K07513
g8139	ko:K12158
g5649	ko:K18730
g5647	ko:K00026
g5421	ko:K07088
g8371	ko:K11836
g9768	ko:K03283
g6215	ko:K08851
g1551	ko:K10402
g1551	ko:K17387
g1551	ko:K18703
g3571	ko:K16833
g10193	ko:K11244
g10100	ko:K01518
g8046	ko:K01216
g8046	ko:K01216
g8046	ko:K01216
g8106	ko:K02325
g4481	ko:K02139
g4481	ko:K02139
g8431	ko:K03955
g580	ko:K08157
g580	ko:K08157
g5301	ko:K13507
g7013	ko:K14262
g3816	ko:K02265
g10336	ko:K00065
g10336	ko:K00065
g4098	ko:K03426
g4098	ko:K03426
g2369	ko:K00002
g1498	ko:K17278
g4591	ko:K11592
g8374	ko:K00789
g3171	ko:K00003
g1720	ko:K04460
g4091	ko:K01536
g9119	ko:K10807
g326	ko:K22132
g8358	ko:K11187
g3503	ko:K14012
g1403	ko:K17784
g865	ko:K01958
g2988	ko:K00559
g9117	ko:K01597
g7993	ko:K01836
g8246	ko:K02540
g5033	ko:K00413
g5033	ko:K10632
g2804	ko:K03264
g1275	ko:K02971
g8578	ko:K01507
g9240	ko:K04712
g9240	ko:K04712
g2487	ko:K14818
g7202	ko:K20221
g8912	ko:K10591
g8432	ko:K03941
g9068	ko:K14539
g1849	ko:K00015
g4482	ko:K03937
g10311	ko:K16261
g4308	ko:K03006
g6957	ko:K18549
g5806	ko:K17302
g482	ko:K14572
g8136	ko:K02212
g3500	ko:K11446
g3451	ko:K16732
g10640	ko:K03235
g10640	ko:K03235
g1544	ko:K02937
g4832	ko:K16342
g4832	ko:K07195
g9493	ko:K09567
g10643	ko:K05349
g2222	ko:K06867
g6385	ko:K09117
g3659	ko:K15287
g1778	ko:K07252
g1778	ko:K07252
g4962	ko:K03782
g3752	ko:K13179
g9805	ko:K07374
g7597	ko:K01183
g8797	ko:K14663
g4743	ko:K13711
g4743	ko:K13711
g4793	ko:K01067
g5552	ko:K02934
g4266	ko:K07936
g8050	ko:K11808
g5279	ko:K01120
g5279	ko:K03233
g1531	ko:K11547
g1531	ko:K00850
g1531	ko:K00850
g1129	ko:K11713
g8549	ko:K02132
g8549	ko:K02132
g10058	ko:K10753
g8367	ko:K07466
g2566	ko:K20369
g745	ko:K15710
g745	ko:K15710
g7767	ko:K00873
g6365	ko:K06943
g4612	ko:K01899
g5557	ko:K03942
g5557	ko:K03942
g5515	ko:K01533
g7846	ko:K18738
g3950	ko:K14792
g9126	ko:K00262
g4686	ko:K00030
g10095	ko:K01104
g3798	ko:K02619
g429	ko:K19366
g4133	ko:K00859
g6171	ko:K02143
g10848	ko:K22139
g960	ko:K14855
g4282	ko:K06630
g4282	ko:K06630
g10567	ko:K00143
g10567	ko:K00143
g7894	ko:K01892
g10161	ko:K08176
g3466	ko:K01069
g3466	ko:K01069
g4849	ko:K17261
g4849	ko:K17261
g9753	ko:K01191
g7985	ko:K01754
g8563	ko:K14709
g7398	ko:K19327
g6336	ko:K11885
g545	ko:K01148
g545	ko:K17427
g9609	ko:K01758
g7167	ko:K14788
g212	ko:K16369
g8613	ko:K08065
g118	ko:K14573
g2049	ko:K07755
g1741	ko:K01007
g5343	ko:K02937
g10012	ko:K18738
g6242	ko:K12615
g6242	ko:K12615
g1852	ko:K19786
g9257	ko:K15918
g2074	ko:K00851
g3092	ko:K12599
g8758	ko:K03959
g6563	ko:K01101
g6563	ko:K02685
g6563	ko:K01101
g6563	ko:K02685
g8584	ko:K12609
g9196	ko:K07390
g4065	ko:K10843
g87	ko:K03119
g87	ko:K19245
g4060	ko:K02209
g5204	ko:K01288
g5204	ko:K01288
g7952	ko:K03938
g2393	ko:K17738
g8626	ko:K00939
g8626	ko:K00944
g6991	ko:K20523
g10015	ko:K15100
g10015	ko:K15100
g6052	ko:K11204
g10230	ko:K19356
g5155	ko:K00416
g924	ko:K12624
g10292	ko:K15109
g183	ko:K01954
g183	ko:K11541
g5257	ko:K05290
g9650	ko:K08064
g6031	ko:K09503
g10586	ko:K22386
g4691	ko:K06911
g9741	ko:K03251
g508	ko:K07241
g508	ko:K09458
g508	ko:K09458
g251	ko:K06072
g4613	ko:K12160
g1615	ko:K10256
g2038	ko:K01648
g2038	ko:K01648
g7304	ko:K02125
g7131	ko:K01759
g7131	ko:K01759
g6409	ko:K06902
g4488	ko:K00275
g7242	ko:K00249
g5918	ko:K22152
g5918	ko:K22152
g3313	ko:K11883
g9715	ko:K19950
g7924	ko:K00418
g5596	ko:K12830
g7815	ko:K01253
g6824	ko:K15192
g1252	ko:K00021
g2008	ko:K07375
g9802	ko:K07824
g10822	ko:K10706
g4541	ko:K03845
g2511	ko:K11121
g2511	ko:K11121
g2451	ko:K01253
g2451	ko:K01253
g9930	ko:K11788
g9930	ko:K15201
g8363	ko:K01455
g5390	ko:K01792
g10710	ko:K01580
g4099	ko:K01738
g2326	ko:K10739
g3096	ko:K00474
g3017	ko:K07297
g3017	ko:K07297
g1209	ko:K01687
g2265	ko:K03247
g2857	ko:K02135
g9373	ko:K11279
g8302	ko:K17362
g723	ko:K22381
g9895	ko:K11229
g9895	ko:K11229
g5926	ko:K04630
g5926	ko:K04640
g3286	ko:K01113
g6369	ko:K01230
g8255	ko:K13076
g8255	ko:K13076
g7971	ko:K09579
g8871	ko:K13099
g6183	ko:K08675
g8460	ko:K10625
g870	ko:K01104
g2325	ko:K14808
g9321	ko:K03265
g9321	ko:K03265
g10815	ko:K02947
g6218	ko:K01514
g8747	ko:K21456
g1745	ko:K00700
g1745	ko:K02133
g1601	ko:K12604
g7105	ko:K16302
g2984	ko:K10841
g10304	ko:K10771
g10304	ko:K10771
g1132	ko:K03253
g2916	ko:K00122
g5404	ko:K01875
g6547	ko:K02134
g2459	ko:K04345
g2459	ko:K08282
g2459	ko:K19584
g2459	ko:K04345
g2459	ko:K08282
g2459	ko:K19584
g8121	ko:K01469
g8853	ko:K03120
g6758	ko:K05389
g8555	ko:K14686
g8555	ko:K14686
g10812	ko:K13953
g8781	ko:K05765
g3537	ko:K15289
g1902	ko:K04618
g1566	ko:K03252
g3669	ko:K07238
g10719	ko:K03626
g10719	ko:K03626
g10719	ko:K02138
g9404	ko:K20120
g9374	ko:K18532
g8864	ko:K08744
g9892	ko:K00505
g10778	ko:K11339
g10845	ko:K02515
g10845	ko:K06668
g10845	ko:K18679
g10845	ko:K18680
g6089	ko:K06030
g7986	ko:K01279
g10678	ko:K15296
g10678	ko:K15296
g2286	ko:K01733
g10107	ko:K20195
g2167	ko:K18183
g2010	ko:K09548
g10115	ko:K20222
g2344	ko:K18328
g9055	ko:K14532
g4135	ko:K00067
g4135	ko:K00789
g4135	ko:K06210
g4135	ko:K00067
g4135	ko:K00789
g4135	ko:K06210
g2283	ko:K20224
g4242	ko:K02140
g3291	ko:K03939
g10174	ko:K11268
g10174	ko:K11268
g6085	ko:K01725
g6085	ko:K01725
g10819	ko:K00621
g1420	ko:K14169
g3091	ko:K10998
g5957	ko:K19783
g4636	ko:K00915
g4636	ko:K14399
g4815	ko:K16261
g7962	ko:K15428
g3951	ko:K11790
g10305	ko:K14191
g5830	ko:K14454
g9103	ko:K03564
g8823	ko:K01098
g7062	ko:K17739
g5650	ko:K11557
g3492	ko:K00852
g9017	ko:K00045
g9017	ko:K00045
g7748	ko:K01070
g7748	ko:K01070
g6651	ko:K15172
g4768	ko:K20298
g283	ko:K00549
g9941	ko:K03965
g1779	ko:K11971
g9296	ko:K02910
g9296	ko:K13989
g9296	ko:K13989
g987	ko:K03242
g1770	ko:K05692
g1770	ko:K05692
g9264	ko:K03249
g10083	ko:K03953
g6944	ko:K04705
g6590	ko:K01626
g6590	ko:K01626
g2646	ko:K02516
g2646	ko:K02516
g2646	ko:K02516
g1404	ko:K01749
g3196	ko:K15029
g4594	ko:K03505
g4594	ko:K03505
g8728	ko:K15378
g8728	ko:K15378
g1884	ko:K04565
g10181	ko:K17103
g7687	ko:K13953
g10196	ko:K15109
g70	ko:K01951
g6656	ko:K02201
g6656	ko:K02201
g4508	ko:K11375
g10830	ko:K10580
g6607	ko:K15163
g9295	ko:K18798
g4470	ko:K10610
g3087	ko:K03260
g6896	ko:K01870
g9811	ko:K11294
g1160	ko:K05767
g1160	ko:K05767
g9305	ko:K15083
g9305	ko:K15083
g10345	ko:K18097
g10345	ko:K19634
g8372	ko:K11836
