protein_ids	KEGG_ko	log2FC_shrinked
XP_018257836.1	-	-2.21791479751491
XP_018257835.1	-	-2.21791479751491
XP_018250051.1	K16261	-2.22244429242865
XP_018246883.1	-	-2.22788518920439
XP_018238153.1	-	-2.23583499161314
XP_018234300.1	-	-2.24138410646171
XP_018234299.1	-	-2.24138410646171
XP_018241058.1	-	-2.24489132660719
XP_018241059.1	-	-2.24489132660719
XP_018241060.1	-	-2.24489132660719
XP_018241061.1	-	-2.24489132660719
XP_018251059.1	-	-2.25349947193851
XP_018238672.1	-	-2.25433925091639
XP_018236527.1	K01537	-2.25624939576726
XP_018255328.1	-	-2.2576776861067
XP_018251137.1	K00252	-2.26051656124549
XP_018236653.1	K22277	-2.26381117611992
XP_018251381.1	-	-2.27675045443204
XP_018243217.1	-	-2.27878970549263
XP_018240604.1	K17742	-2.28598678894086
XP_018245138.1	K00226,K00254	-2.32698508520668
XP_018248003.1	K01505	-2.33321855162582
XP_018252978.1	-	-2.33762150982122
XP_018252980.1	-	-2.33762150982122
XP_018252979.1	-	-2.33762150982122
XP_018247444.1	-	-2.33963119147404
XP_018249156.1	K00818	-2.34714283245129
XP_018238159.1	-	-2.34968644783907
XP_018257627.1	-	-2.35702912937177
XP_018245561.1	K06215	-2.36816152149914
XP_018243590.1	-	-2.38790769542278
XP_018247388.1	K00276	-2.39348378608805
XP_018239850.1	-	-2.39438295947031
XP_018252687.1	-	-2.40474520720765
XP_018252688.1	-	-2.40474520720765
XP_018252685.1	-	-2.40474520720765
XP_018252686.1	-	-2.40474520720765
XP_018233883.1	-	-2.40856933870452
XP_018245909.1	K16261	-2.410566416489
XP_018245910.1	K16261	-2.410566416489
XP_018245562.1	K08681	-2.41112812419836
XP_018245563.1	K08681	-2.41112812419836
XP_018245564.1	K08681	-2.41112812419836
XP_018246307.1	-	-2.41373223998511
XP_018236715.1	-	-2.42072619126559
XP_018256098.1	-	-2.4306842165595
XP_018243936.1	K01653	-2.43076677754282
XP_018238152.1	-	-2.4595404674358
XP_018243366.1	-	-2.46143986373336
XP_018233963.1	K01915	-2.46308071915399
XP_018233962.1	K01915	-2.46308071915399
XP_018252957.1	K00826	-2.46971766081123
XP_018242159.1	K01954,K11541	-2.47967429923466
XP_018252838.1	K01178	-2.48317502699473
XP_018236643.1	-	-2.48613719561327
XP_018252333.1	-	-2.49944634654034
XP_018250574.1	-	-2.50050209056677
XP_018250573.1	-	-2.50050209056677
XP_018239717.1	K01424	-2.50968563717321
XP_018245621.1	K00826	-2.53096369345901
XP_018250589.1	K03327	-2.56148463806914
XP_018233748.1	K07304	-2.57017618483463
XP_018257110.1	-	-2.57327240445026
XP_018239990.1	K09780	-2.5862935400424
XP_018247557.1	-	-2.58644337864678
XP_018252188.1	K01533	-2.58656206190827
XP_018253333.1	K22149	-2.58700065520825
XP_018253334.1	K22149	-2.58700065520825
XP_018238155.1	-	-2.58796762596985
XP_018233747.1	-	-2.59670745923339
XP_018254142.1	-	-2.60011664052191
XP_018238220.1	-	-2.60329048845102
XP_018235989.1	-	-2.60606887245421
XP_018237638.1	K00451	-2.60801064329904
XP_018237376.1	K01969	-2.60875875809672
XP_018247192.1	K22151	-2.61796405579455
XP_018247190.1	-	-2.62633900287758
XP_018247191.1	-	-2.62633900287758
XP_018252640.1	K14708	-2.64652669972422
XP_018245497.1	-	-2.6589955620864
XP_018238339.1	K00276	-2.66913326386165
XP_018255226.1	-	-2.68005994139528
XP_018251027.1	-	-2.68612107232328
XP_018251028.1	-	-2.68612107232328
XP_018249843.1	K01652	-2.69818337102255
XP_018242179.1	-	-2.72219934955225
XP_018250232.1	-	-2.74055787650125
XP_018250231.1	-	-2.74055787650125
XP_018240429.1	K01754	-2.74995510190131
XP_018241585.1	K00166	-2.75436830680749
XP_018257200.1	-	-2.77658916298905
XP_018235829.1	-	-2.80568013997227
XP_018252659.1	-	-2.85315810838096
XP_018232340.1	-	-2.85555104714831
XP_018241625.1	K00547	-2.87394255543687
XP_018238606.1	-	-2.87736994583573
XP_018250052.1	-	-2.88256689716214
XP_018251073.1	-	-2.88869820172304
XP_018256119.1	-	-2.89234579896094
XP_018238975.1	-	-2.91023090089598
XP_018241917.1	K00826	-2.91782532896921
XP_018237071.1	-	-2.92623145429964
XP_018249618.1	-	-2.94989719022553
XP_018235889.1	-	-2.96000438852624
XP_018255069.1	-	-2.96590006554567
XP_018237195.1	K00311	-2.97076783567838
XP_018250943.1	-	-2.97889909368145
XP_018250740.1	-	-3.02799067374075
XP_018245975.1	K00641	-3.03242586631763
XP_018239831.1	-	-3.05164492878568
XP_018239830.1	-	-3.05164492878568
XP_018257874.1	-	-3.07439375818346
XP_018254185.1	-	-3.10759185300151
XP_018237162.1	K01443	-3.11129028883944
XP_018239715.1	K08141	-3.15247997081367
XP_018254182.1	-	-3.1553622123291
XP_018242271.1	K03854,K10967	-3.15920593253142
XP_018246756.1	-	-3.16487487546186
XP_018246758.1	-	-3.16487487546186
XP_018246757.1	-	-3.16487487546186
XP_018252461.1	-	-3.16686415465366
XP_018232532.1	-	-3.19719432932414
XP_018252300.1	-	-3.21879175793826
XP_018252989.1	K01607	-3.26208625168321
XP_018233167.1	-	-3.3465263887256
XP_018243369.1	-	-3.3754295232579
XP_018254071.1	K01181	-3.37777865307241
XP_018250658.1	-	-3.38079404445744
XP_018243984.1	-	-3.38357766250656
XP_018243985.1	-	-3.38357766250656
XP_018248976.1	-	-3.44258361700896
XP_018241215.1	K00318	-3.45838083942938
XP_018243445.1	K00457	-3.46143888356053
XP_018242052.1	K01702	-3.47486595298567
XP_018242053.1	K01702	-3.47486595298567
XP_018242054.1	K01702	-3.47486595298567
XP_018248982.1	-	-3.48047051333145
XP_018248981.1	-	-3.48047051333145
XP_018248980.1	-	-3.48047051333145
XP_018248979.1	-	-3.48047051333145
XP_018248978.1	-	-3.48047051333145
XP_018248977.1	-	-3.48047051333145
XP_018233969.1	-	-3.52104083056096
XP_018252864.1	-	-3.59358023308166
XP_018257612.1	-	-3.59401430513067
XP_018253294.1	-	-3.60822066890761
XP_018231732.1	K00838	-3.67056952658738
XP_018231733.1	K00838	-3.67056952658738
XP_018253328.1	-	-3.68948183803525
XP_018253329.1	-	-3.68948183803525
XP_018247376.1	-	-3.75306684235007
XP_018254206.1	-	-3.75858887300833
XP_018233298.1	-	-3.758707761475
XP_018241263.1	K15102	-3.77790350440257
XP_018247426.1	-	-3.81420841564732
XP_018245981.1	-	-3.82943446686536
XP_018234472.1	K00262	-3.84397544859937
XP_018234471.1	K00262	-3.84397544859937
XP_018234470.1	K00262	-3.84397544859937
XP_018233591.1	-	-3.87620605548116
XP_018233590.1	-	-3.87620605548116
XP_018258675.1		-3.96993855117214
XP_018241638.1	-	-3.98096684028192
XP_018241637.1	-	-3.98096684028192
XP_018236473.1	-	-3.98323894886778
XP_018236472.1	-	-3.98323894886778
XP_018236471.1	-	-3.98323894886778
XP_018236129.1	-	-3.99176070554151
XP_018252796.1	-	-3.99809196021673
XP_018241153.1	-	-3.99870227950713
XP_018237630.1	-	-4.01137748153356
XP_018237631.1	-	-4.01137748153356
XP_018237629.1	-	-4.01137748153356
XP_018250399.1	-	-4.04226145185551
XP_018239612.1	-	-4.1039697610821
XP_018239613.1	-	-4.1039697610821
XP_018245822.1	-	-4.11426140064475
XP_018237655.1	K01951,K22314	-4.14620048227651
XP_018237656.1	K01951,K22314	-4.14620048227651
XP_018256165.1	K01555	-4.17333288695032
XP_018234543.1	-	-4.23804571194782
XP_018246849.1	-	-4.2776473602087
XP_018255098.1	-	-4.32135374573608
XP_018249480.1	-	-4.3229147092701
XP_018244839.1		-4.41947230319813
XP_018245685.1	-	-4.42501842192719
XP_018251303.1	K16261	-4.44537898834279
XP_018251304.1	K16261	-4.44537898834279
XP_018258259.1	K01279	-4.52860517493665
XP_018250877.1	K16261	-4.61822058067388
XP_018248843.1	-	-4.6827495356852
XP_018235969.1	-	-4.76605887934102
XP_018235970.1	-	-4.76605887934102
XP_018236577.1	-	-4.84788032307671
XP_018254044.1	-	-4.88539175634798
XP_018238169.1	-	-4.91406791531283
XP_018250403.1	K00826	-5.11366045719707
XP_018257655.1	-	-5.16451795497528
XP_018255327.1		-5.21467902249963
XP_018250821.1	K18693	-5.21741097156135
XP_018250921.1	K01426	-5.27706884383704
XP_018250920.1	K01426	-5.27706884383704
XP_018247290.1	-	-5.32105622390114
XP_018247875.1	-	-5.40483340460991
XP_018247873.1	-	-5.40483340460991
XP_018247874.1	-	-5.40483340460991
XP_018257754.1	-	-5.45274988824161
XP_018241122.1	-	-5.47332910710845
XP_018241123.1	-	-5.51784820697281
XP_018250416.1	K08157	-5.73794856419866
XP_018250372.1	-	-5.83835461330526
XP_018258695.1	-	-5.92732606395302
XP_018249601.1	-	-6.07578185982999
XP_018250926.1	K01078	-6.22288437589921
XP_018236502.1	K01739	-6.30295042518098
XP_018239043.1	-	-6.33865942137326
XP_018254042.1		-6.46845430567409
XP_018245558.1	K01505	-6.68227419365344
XP_018254064.1	K01568	-6.79193393188005
XP_018245177.1	K00272,K00273	-7.08527602241105
XP_018245176.1	K00272,K00273	-7.08527602241105
XP_018235013.1	-	-7.26145103109714
XP_018256164.1	K01800	-7.56810996550578
XP_018233935.1	-	-7.60882388745551
XP_018233936.1	-	-7.60882388745551
XP_018247378.1	-	-9.08103126134122
XP_018245977.1	K00463	-9.62174362347515
XP_018241076.1	-	-10.3191426515969
